Author;Year;Title;Reference type;Periodical;publication
"Adamson, P.; Marshall, C. J.; Hall, A.; Tilbrook, P. A.";1992;Post-translational modifications of p21rho proteins;Journal Article;Journal of Biological Chemistry;doi:10.1016/S0021-9258(19)88661-1
"Armstrong, S. A.; Hannah, V. C.; Goldstein, J. L.; Brown, M. S.";1995;CAAX geranylgeranyl transferase transfers farnesyl as efficiently as geranylgeranyl to RhoB;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.270.14.7864
"Ashar, H. R.; James, L.; Gray, K.; Carr, D.; Black, S.; Armstrong, L.; Bishop, W. R.; Kirschmeier, P.";2000;Farnesyl transferase inhibitors block the farnesylation of CENP-E and CENP-F and alter the association of CENP-E with the microtubules;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.M003469200
"Basso, Andrea D.; Mirza, Asra; Liu, Gongjie; Long, Brian J.; Bishop, W. Robert; Kirschmeier, Paul";2005;The farnesyl transferase inhibitor (FTI) SCH66336 (lonafarnib) inhibits Rheb farnesylation and mTOR signaling. Role in FTI enhancement of taxane and tamoxifen anti-tumor activity;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.M503763200
"Britzen-Laurent, Nathalie; Bauer, Michael; Berton, Valeria; Fischer, Nicole; Syguda, Adrian; Reipschläger, Simone; Naschberger, Elisabeth; Herrmann, Christian; Stürzl, Michael";2010;Intracellular trafficking of guanylate-binding proteins is regulated by heterodimerization in a hierarchical manner;Journal Article;PLoS ONE;doi:10.1371/journal.pone.0014246
"Buss, J. E.; Quilliam, L. A.; Kato, K.; Casey, P. J.; Solski, P. A.; Wong, G.; Clark, R.; McCormick, F.; Bokoch, G. M.; Der, C. J.";1991;The COOH-terminal domain of the Rap1A (Krev-1) protein is isoprenylated and supports transformation by an H-Ras:Rap1A chimeric protein;Journal Article;Mol Cell Biol (Molecular and Cellular Biology);doi:10.1128/mcb.11.3.1523-1530.1991
"Cates, C. A.; Michael, R. L.; Stayrook, K. R.; Harvey, K. A.; Burke, Y. D.; Randall, S. K.; Crowell, P. L.; Crowell, D. N.";1996;Prenylation of oncogenic human PTP(CAAX) protein tyrosine phosphatases;Journal Article;Cancer Letters;doi:10.1016/s0304-3835(96)04459-x
"Catherman, Adam D.; Durbin, Kenneth R.; Ahlf, Dorothy R.; Early, Bryan P.; Fellers, Ryan T.; Tran, John C.; Thomas, Paul M.; Kelleher, Neil L.";2013;Large-scale top-down proteomics of the human proteome: membrane proteins, mitochondria, and senescence;Journal Article;Molecular & cellular proteomics : MCP;doi:10.1074/mcp.M113.030114
"Chapple, J. Paul; Cheetham, Michael E.";2003;The chaperone environment at the cytoplasmic face of the endoplasmic reticulum can modulate rhodopsin processing and inclusion formation;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.M212349200
"Dasgupta, S.; Wasson, L. M.; Rauniyar, N.; Prokai, L.; Borejdo, J.; Vishwanatha, J. K.";2009;Novel gene C17orf37 in 17q12 amplicon promotes migration and invasion of prostate cancer cells;Journal Article;Oncogene;doi:10.1038/onc.2009.145
"Dasgupta, Subhamoy; Cushman, Ian; Kpetemey, Marilyne; Casey, Patrick J.; Vishwanatha, Jamboor K.";2011;Prenylated c17orf37 induces filopodia formation to promote cell migration and metastasis;Journal Article;The Journal of biological chemistry;doi:10.1074/jbc.M111.254599
"Dharmaiah, Srisathiyanarayanan; Bindu, Lakshman; Tran, Timothy H.; Gillette, William K.; Frank, Peter H.; Ghirlando, Rodolfo; Nissley, Dwight V.; Esposito, Dominic; McCormick, Frank; Stephen, Andrew G.; Simanshu, Dhirendra K.";2016;Structural basis of recognition of farnesylated and methylated KRAS4b by PDEδ;Journal Article;Proc. Natl. Acad. Sci. U.S.A. (Proceedings of the National Academy of Sciences);doi:10.1073/pnas.1615316113
"Downes, Brian P.; Saracco, Scott A.; Lee, Sang Sook; Crowell, Dring N.; Vierstra, Richard D.";2006;MUBs, a family of ubiquitin-fold proteins that are plasma membrane-anchored by prenylation;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.M602283200
"Dudler, T.; Gelb, M. H.";1996;Palmitoylation of Ha-Ras facilitates membrane binding, activation of downstream effectors, and meiotic maturation in Xenopus oocytes;Journal Article;Journal of Biological Chemistry;doi:10.1074/jbc.271.19.11541
"Elam, Candice; Hesson, Luke; Vos, Michele D.; Eckfeld, Kristin; Ellis, Chad A.; Bell, Aaron; Krex, Dietmar; Birrer, Michael J.; Latif, Farida; Clark, Geoffrey J.";2005;RRP22 is a farnesylated, nucleolar, Ras-related protein with tumor suppressor potential;Journal Article;Cancer Research;doi:10.1158/0008-5472.CAN-04-0749
"Falsetti, Samuel C.; Wang, De-an; Peng, Hairuo; Carrico, Dora; Cox, Adrienne D.; Der, Channing J.; Hamilton, Andrew D.; Sebti, Saïd M.";2007;Geranylgeranyltransferase I inhibitors target RalB to inhibit anchorage-dependent growth and induce apoptosis and RalA to inhibit anchorage-independent growth;Journal Article;Mol Cell Biol (Molecular and Cellular Biology);doi:10.1128/MCB.00057-07
"Farnsworth, C. C.; Seabra, M. C.; Ericsson, L. H.; Gelb, M. H.; Glomset, J. A.";1994;Rab geranylgeranyl transferase catalyzes the geranylgeranylation of adjacent cysteines in the small GTPases Rab1A, Rab3A, and Rab5A;Journal Article;Proc. Natl. Acad. Sci. U.S.A. (Proceedings of the National Academy of Sciences);doi:10.1073/pnas.91.25.11963
"Farnsworth, C. C.; Wolda, S. L.; Gelb, M. H.; Glomset, J. A.";1989;Human Lamin B Contains a Farnesylated Cysteine Residue;Journal Article;Journal of Biological Chemistry;doi:10.1016/S0021-9258(19)47079-8
"Farrell, F. X.; Yamamoto, K.; Lapetina, E. G.";1993;Prenyl group identification of rap2 proteins: a ras superfamily member other than ras that is farnesylated;Journal Article;Biochemical Journal;doi:10.1042/bj2890349
"Foster, R.; Hu, K. Q.; Lu, Y.; Nolan, K. M.; Thissen, J.; Settleman, J.";1996;Identification of a novel human Rho protein with unusual properties: GTPase deficiency and in vivo farnesylation;Journal Article;Mol Cell Biol (Molecular and Cellular Biology);doi:10.1128/MCB.16.6.2689
"Fukasawa, Masayoshi; Varlamov, Oleg; Eng, William S.; Söllner, Thomas H.; Rothman, James E.";2004;Localization and activity of the SNARE Ykt6 determined by its regulatory domain and palmitoylation;Journal Article;Proc. Natl. Acad. Sci. U.S.A. (Proceedings of the National Academy of Sciences);doi:10.1073/pnas.0401183101
"Gotoh, T.; Terada, K.; Oyadomari, S.; Mori, M.";2004;hsp70-DnaJ chaperone pair prevents nitric oxide- and CHOP-induced apoptosis by inhibiting translocation of Bax to mitochondria;Journal Article;Cell Death Differ (Cell Death & Differentiation);doi:10.1038/sj.cdd.4401369
"Hancock, J. F.; Magee, A. I.; Childs, J. E.; Marshall, C. J.";1989;All ras proteins are polyisoprenylated but only some are palmitoylated;Journal Article;Cell;doi:10.1016/0092-8674(89)90054-8
"Hoffman, G. R.; Nassar, N.; Cerione, R. A.";2000;Structure of the Rho family GTP-binding protein Cdc42 in complex with the multifunctional regulator RhoGDI;Journal Article;Cell;doi:10.1016/s0092-8674(00)80670-4
"Ichioka, Fumitaka; Kobayashi, Ryota; Katoh, Keiichi; Shibata, Hideki; Maki, Masatoshi";2008;Brox, a novel farnesylated Bro1 domain-containing protein that associates with charged multivesicular body protein 4 (CHMP4);Journal Article;FEBS Journal;doi:10.1111/j.1742-4658.2007.06230.x
"Ismail, Shehab A.; Chen, Yong-Xiang; Rusinova, Alexandra; Chandra, Anchal; Bierbaum, Martin; Gremer, Lothar; Triola, Gemma; Waldmann, Herbert; Bastiaens, Philippe I. H.; Wittinghofer, Alfred";2011;Arl2-GTP and Arl3-GTP regulate a GDI-like transport system for farnesylated cargo;Journal Article;Nat Chem Biol (Nature Chemical Biology);doi:10.1038/nchembio.686
